,ImageID,XMin,XMax,YMin,YMax,ClassName
583,000060e3121c7305.jpg,0.3225,0.389375,0.5801310000000001,0.669166,Laptop
3539,00022a6311159428.jpg,0.126875,0.484375,0.638281,0.871094,Laptop
4018,0002af997ecdfcf4.jpg,0.25,0.36375,0.23666700000000002,0.334444,Laptop
5473,000396ae942e8778.jpg,0.0,0.995,0.0,0.99639,Laptop
6449,00048edce2a37368.jpg,0.0,0.225,0.71,0.999167,Laptop
6450,00048edce2a37368.jpg,0.19875,0.31375,0.3075,0.3825,Laptop
6451,00048edce2a37368.jpg,0.69875,0.85375,0.49833299999999997,0.716667,Laptop
6452,00048edce2a37368.jpg,0.76625,0.908125,0.469167,0.605833,Laptop
8434,0005d2c43b82a3dc.jpg,0.8875,0.999375,0.613358,0.727187,Laptop
10330,000776501b89bf47.jpg,0.44125,0.581875,0.313333,0.524167,Laptop
11681,0008c0909fb45c79.jpg,0.0,0.999,0.0,0.9984959999999999,Laptop
13007,0009debd0e9d1fca.jpg,0.521875,0.74375,0.534709,0.708255,Laptop
16037,000c9121b17ee0ff.jpg,0.218125,0.4975,0.8086300000000001,0.9990620000000001,Laptop
16393,000cd862a3c97051.jpg,0.0,0.159375,0.41875,0.9984379999999999,Laptop
17908,000e1dd786c8e433.jpg,0.446875,0.999375,0.06,0.925,Laptop
17909,000e1dd786c8e433.jpg,0.656875,0.78875,0.0,0.025,Laptop
17934,000e3e4f5c6c454d.jpg,0.0,0.999375,0.0,0.9990600000000001,Laptop
19834,00103cd22a757365.jpg,0.395,0.736667,0.667925,0.9949690000000001,Laptop
20067,00106a172812b3b0.jpg,0.130625,0.814375,0.0,0.9372659999999999,Laptop
20115,00107c014500a8cb.jpg,0.613125,0.869375,0.396667,0.684167,Laptop
20658,00112c426578e854.jpg,0.281667,0.351667,0.555834,0.612296,Laptop
24841,0015c6105c9e7a3a.jpg,0.216667,0.660833,0.3575,0.8675,Laptop
25468,0016730ee38621fd.jpg,0.659162,0.7523449999999999,0.611687,0.696513,Laptop
27317,00185eed7ee580c2.jpg,0.2875,0.55,0.421875,0.615625,Laptop
28731,001a064f84f98c59.jpg,0.517992,0.6635979999999999,0.39125,0.47625,Laptop
29963,001b963bc073ef19.jpg,0.0,0.999059,0.010625,0.993125,Laptop
31428,001db64c9594f669.jpg,0.33625,0.49375,0.323996,0.46965500000000004,Laptop
31429,001db64c9594f669.jpg,0.380625,0.441875,0.195145,0.244631,Laptop
31430,001db64c9594f669.jpg,0.386875,0.444375,0.204482,0.269841,Laptop
31431,001db64c9594f669.jpg,0.445625,0.495625,0.193277,0.21475300000000003,Laptop
31432,001db64c9594f669.jpg,0.49625,0.6575,0.327731,0.457516,Laptop
33485,0020a413d8a59902.jpg,0.0,0.065,0.8584639999999999,0.999075,Laptop
33486,0020a413d8a59902.jpg,0.41875,0.485625,0.8741909999999999,0.999075,Laptop
36730,00256e1d7257a7a7.jpg,0.433125,0.990625,0.361321,0.954717,Laptop
37926,002730ebd4e115d1.jpg,0.371875,0.46125,0.450833,0.624167,Laptop
37927,002730ebd4e115d1.jpg,0.6025,0.75625,0.44166700000000003,0.5625,Laptop
37928,002730ebd4e115d1.jpg,0.6525,0.99625,0.668333,0.999167,Laptop
39417,0029a42a44e0868c.jpg,0.0,0.400625,0.655722,0.998124,Laptop
39418,0029a42a44e0868c.jpg,0.2825,0.53125,0.49155699999999997,0.704503,Laptop
39889,002a604d484c81f7.jpg,0.0,0.482,0.503748,0.998501,Laptop
